empresa,frecuencia
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,1
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,1
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,3
CODENSA S.A. ESP,7
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,11
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,11
ELECTRIFICADORA DEL META S.A. E.S.P.,11
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,12
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,15
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,20
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,23
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,30
ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,83
