pais,promedio_renovables
Austria,29.4623735964912
Brazil,39.2128126315789
Canada,28.4101169473684
Chile,21.689584245614
Colombia,26.1111943684211
Croatia,20.009952859375
Ecuador,16.0736929947368
Finland,18.8259847719298
Iceland,62.0636996842105
Latvia,18.8581268918919
New Zealand,39.5116522280702
Norway,68.0191889298246
Peru,25.0767566491228
Portugal,20.0219585070175
Slovenia,14.640907921875
Sri Lanka,19.2123030350877
Sweden,33.9708606842105
Switzerland,31.6748546842105
Venezuela,16.698627622807
Vietnam,13.5321114105263
